icao,name,lat,lon,elev_ft
LIRF,Rome_Fiumicino_Leonardo_da_Vinci_International_Airport,41.804532,12.251998,13
LIMC,Milan_Malpensa_International_Airport,45.6306,8.72811,768
LIPZ,Venice_Marco_Polo_Airport,45.505299,12.3519,7
LIML,Milano_Linate_Airport,45.445099,9.27674,353
LIME,Milan_Bergamo_Airport_/_Antonio_Locatelli_Air_Base,45.670725,9.709223,782
LIRA,Ciampino_G._B._Pastine_International_Airport,41.7994,12.5949,427
LIPE,Bologna_Guglielmo_Marconi_Airport,44.5354,11.2887,123
LIRN,Naples_International_Airport,40.886002,14.2908,294
LIRP,Pisa_International_Airport,43.683899,10.3927,6
LICC,Catania_Fontanarossa_Airport,37.466801,15.0664,39
LIRQ,"Florence_Airport,_Peretola",43.808558,11.202822,142
LICJ,Falcone_Borsellino_Airport,38.175999,13.091,65
LIPH,Treviso_Antonio_Canova_Airport,45.648399,12.1944,59
LIMF,Turin_Airport,45.200802,7.64963,989
LIPX,Verona_Villafranca_Valerio_Catullo_Airport,45.394955,10.887303,239
LIEE,Cagliari_Elmas_Airport,39.251499,9.05428,13
LIEO,Olbia_Costa_Smeralda_Airport,40.898701,9.51763,37
LIBD,Bari_Karol_Wojtyła_International_Airport,41.138901,16.760599,193
LIPQ,Trieste_Friuli_Venezia_Giulia_Airport,45.827499,13.4722,39
LIMJ,Genoa_Cristoforo_Colombo_Airport,44.412039,8.840732,13
LIEA,Alghero_Fertilia_Airport,40.632099,8.29077,87
LIPV,Venice_Lido_Giovanni_Nicelli_Airfield,45.428299,12.3881,15
LIPY,Marche_Airport,43.616299,13.3623,49
LIBR,Brindisi_Airport,40.6576,17.947001,47
LIPR,Federico_Fellini_International_Airport,44.020302,12.6117,40
LICT,Vincenzo_Florio_Airport_Trapani_Birgi,37.9114,12.488,25
LIBP,Abruzzo_Airport,42.431702,14.1811,48
LICA,Lamezia_Terme_Sant'Eufemia_International_Airport,38.905197,16.243762,39
LICZ,Sigonella_Navy_Air_Base,37.401699,14.9224,79
LIPB,Bolzano_Airport,46.460201,11.3264,789
LIRJ,Marina_di_Campo_Airport,42.760871,10.239811,31
LIPK,Forlì_Luigi_Ridolfi_Airport,44.194801,12.0701,97
LIPO,Brescia_Gabriele_d'Annunzio_Airport,45.428902,10.3306,355
LIMP,Parma_Airport,44.826351,10.29705,161
LIRU,Rome_Urbe_Airport,41.952096,12.502231,55
LIMZ,Cuneo_International_Airport,44.547001,7.62322,1267
LIMG,Riviera_Villanova_d'Albenga_International_Airport,44.050598,8.12743,148
LIMA,Torino_Aeritalia_Airport,45.086399,7.60337,943
LIRZ,Perugia_San_Francesco_d'Assisi_Umbria_International_Airport,43.095901,12.5132,697
LICR,Reggio_Calabria_Airport,38.071201,15.6516,96
LIMW,Aosta_Corrado_Gex_Airport,45.738552,7.3683,1791
LICB,Comiso_Airport,36.99583,14.60889,756
LIDT,Trento_Mattarello_Airport,46.0214,11.1242,610
LIMB,Milano_Bresso_Airfield,45.539182,9.202452,484
LIPU,Padova_Gino_Allegri_Airfield,45.395316,11.847124,44
LIQS,Siena_Ampugnano_Airport,43.256302,11.255,634
LIPN,Verona_Boscomantico_Airfield,45.472,10.9279,286
LILH,Voghera_Rivanazzano_Airfield,44.952,9.01653,423
LIED,Decimomannu_Air_Base,39.354198,8.97248,100
LIPA,Aviano_Air_Base,46.031898,12.596503,410
LILE,Biella_Cerrione_Airfield,45.4953,8.10278,920
LIDA,Asiago_Romeo_Sartori_Airfield,45.886155,11.515861,3409
LILO,Caiolo_Sondrio_Airfield,46.154448,9.79507,899
LIDU,Carpi_Budrione_Airfield,44.833231,10.871186,69
LILR,Cremona_Migliaro_Airfield,45.168261,10.001864,161
LIDG,Lugo_Francesco_Baracca_Airfield,44.397476,11.854777,62
LIDE,Reggio_Emilia_Airport,44.697701,10.666031,152
LIET,Tortolì_Airport,39.9188,9.68298,23
LIBC,Crotone_Sant'Anna_Pythagoras_Airport,38.9972,17.0802,522
LIRS,Grosseto_Corrado_Baccarini_Air_Base_Grosseto_Airport,42.759701,11.0719,17
LILM,Casale_Monferrato_Airfield,45.110039,8.456898,377
IT-0113,Litorale_di_Caorle_Airfield,45.611944,12.814722,1
LIDF,Fano_Airfield,43.824032,13.02588,54
LILQ,Massa_Cinquale_Municipal_Airfield,43.98598,10.143785,13
LIRI,Salerno_Costa_d'Amalfi_Airport,40.620399,14.9113,123
LILN,Varese_Venegono_Airport,45.742199,8.888233,1100
LILA,Alessandria_Airfield,44.925635,8.626728,299
LIDR,Ravenna_Airport,44.364291,12.224996,1
LIDB,Belluno_Arturo_dell'Oro_Airport,46.166549,12.250389,1240
LIQL,Lucca_Tassignano_Airport,43.825825,10.577928,39
LIPM,Modena_Marzaglia_Airfield,44.631389,10.808611,184
IT-0001,Il_Falco_Airfield,45.269254,7.950733,768
IT-0087,Guglielmo_Zamboni_Airfield,44.475,11.541664,98
LIQN,Rieti_Airfield,42.4272,12.8517,1278
LIBF,Foggia_Gino_Lisa_Airport,41.433596,15.534566,265
LICD,Lampedusa_Airport,35.497898,12.6181,70
LICG,Pantelleria_Airport,36.816502,11.9689,628
LILI,Vercelli_Airport,45.309935,8.417931,417
LIQB,Arezzo_Molin_Blanco_Airfield,43.455248,11.847393,814
IT-0476,Carzago_Riviera_Airfield,45.516789,10.464759,639
LIPD,Udine_Campoformido_Airfield,46.0308,13.18225,305
LILV,Valbrembo_Airfield,45.719864,9.593954,745
LIVV,Moncucco_Airfield,45.344613,7.919072,781
IT-0194,Santa_Lucia_Airfield,45.483966,9.953184,357
LIPF,Ferrara_San_Luca_Airfield,44.812328,11.613884,20
LIPG,Gorizia_Duca_d'Aosta_Airfield,45.906898,13.5993,207
IT-0221,Montagnana_Airfield,45.245222,11.424673,32
IT-0035,Ivrea_Montalto_Dora_Airfield,45.487546,7.84323,810
LIER,Oristano_Fenosu_Airport,39.895308,8.642661,36
LIDP,Pavullo_Airfield,44.322399,10.8317,2244
IT-0003,San_Sepolcro_Airfield,43.55916,12.155903,1050
LIDH,Thiene_Arturo_Ferrarin_Airfield,45.67783,11.496306,335
LIPI,Udine_Rivolto_Air_Base,45.978699,13.0493,179
LIBV,Gioia_del_Colle_Antonio_Ramirez_Air_Base,40.767799,16.9333,1187
LIPS,Istrana_Air_Base,45.684358,12.087107,137
IT-0108,Le_Merline_Airfield,44.97287,9.479142,300
IT-0307,Dominio_di_Bagnoli_Airfield,45.183946,11.857326,3
IT-0366,Bedizzole_Airfield,45.51851,10.449577,623
IT-0395,Collina_Airfield,43.988371,11.389562,951
IT-0055,Pegasus_2000_Airfield,45.311672,7.665153,1312
IT-0074,Carolina_Airfield,45.253154,7.898977,708
LIAU,Capua_Airport,41.116001,14.178,64
IT-0362,Gragnano_Airfield,45,9.581999,285
IT-0062,Aviosuperficie_Bosio_Guido,44.434208,7.632153,1500
IT-0042,Astigiana_Airfield,44.888806,8.354867,469
IT-0048,Castelnuovo_Don_Bosco_Airfield,45.024444,7.966389,730
IT-0126,Delta_Club_Napoli_Airfield,41.065757,13.962901,10
IT-0373,Serristori_Airfield,43.332567,11.857861,859
IT-0279,Aviosuperficie_Celano,42.05167,13.55722,2234
IT-0112,Volo_Club_Milano_Airfield,45.449444,8.998333,335
IT-0245,Val_Vibrata_Flying_Field,42.809474,13.847142,269
IT-0043,Boglietto_Airfield,44.758611,8.183056,610
IT-0325,Curtatone_City_San_Silvestro_Airfield,45.101547,10.7492,68
IT-0110,Dovera_Airfield,45.380312,9.534945,259
LIDV,Prati_Vecchi_d'Aguscello_Airfield,44.790884,11.671901,20
LIAP,L'Aquila_Preturo_Airport,42.379902,13.3092,2211
IT-0359,Massalengo_Airfield,45.275425,9.482934,239
IT-0238,Delta_Condor_Airfield,43.868758,10.302024,1
IT-0034,Giancarlo_Filippi_Airfield,44.414367,7.811279,1411
IT-0170,Kong_Airfield,45.761969,9.445002,633
IT-0454,Fly_Roma_Airfield,41.884894,12.718286,190
IT-0280,Cesare_Rossi_Airfield,43.102879,13.557816,492
IT-0292,Blue_Devil_Centre_Airfield,45.392393,10.127678,223
