"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
317409,317407,"LIAA",2854,59,"Tarmac",0,0,"09",,,,,,"27",,,,,
511103,29414,"LIAF",4593,98,"asphalt",0,0,"17",42.939444,12.710833,730,170,,"35",42.927222,12.713333,696,350,
237070,4307,"LIAP",4623,85,"ASP",0,0,"18",42.386199951171875,13.309000015258789,2210,178,138,"36",42.37350082397461,13.309499740600586,2201,358,430
316449,316448,"LIAT",2215,,"GRE",0,0,"12",,,,,,"30",,,,,
602547,29416,"LIAU",,,"Grass",0,0,"08",41.115152,14.171895,,83,,"26",41.116068,14.183613,,263,
236987,4308,"LIBA",8727,144,"ASP",1,0,"11",41.54439926147461,15.699299812316895,177,114,,"29",41.534698486328125,15.728500366210938,181,294,
237044,4309,"LIBC",6562,148,"ASP",1,0,"17",39.006099700927734,17.077899932861328,520,169,525,"35",38.988399505615234,17.082399368286133,514,349,
237052,4310,"LIBD",9843,148,"ASP",1,0,"07",41.13286209106445,16.74062728881836,176,67,1234,"25",41.142333984375,16.774084091186523,108,247,
237053,4310,"LIBD",512,164,"ASP",0,1,"12",41.1442985534668,16.779499053955078,108,123,,"30",41.13629913330078,16.79640007019043,108,303,
237026,4311,"LIBF",5692,154,"ASP",1,0,"15",41.441319,15.530158,260,156,,"33",41.426998,15.538452,265,336,384
237027,4312,"LIBG",10499,148,"ASP",0,0,"17",40.52510070800781,17.401199340820312,215,169,,"35",40.5099983215332,17.40519905090332,195,349,
237056,4313,"LIBN",6240,190,"ASP",1,0,"14",40.24589157104492,,151,146,,"32",40.232269287109375,18.139080047607422,157,326,233
236975,4314,"LIBP",7933,148,"ASP",1,0,"04",42.42279815673828,14.17199993133545,46,37.5,344,"22",42.439998626708984,14.189900398254395,27,217.5,617
237057,4315,"LIBR",5892,148,"ASP",1,0,"05",40.65230178833008,17.936800003051758,46,53,,"23",40.662601470947266,17.954299926757812,13,233,230
237058,4315,"LIBR",10000,148,"ASP",1,0,"13",40.67219924926758,17.929899215698242,29,137,,"31",40.65549850463867,17.950300216674805,26,317,
237032,4316,"LIBV",9829,98,"ASP",1,0,"14L",40.781700134277344,16.922199249267578,1126,141,390,"32R",40.76070022583008,16.944700241088867,1154,321,392
237031,4316,"LIBV",9846,148,"ASP",1,0,"14R",40.775001525878906,16.922199249267578,1129,141,677,"32L",40.75379943847656,16.944700241088867,1185,321,285
237018,4317,"LICA",9898,148,"ASP",1,0,"10",38.90700149536133,16.228599548339844,20,99,348,"28",38.90380096435547,16.256000518798828,39,279,351
298717,298716,"LICB",8070,148,"asphalt",1,0,"05",,,,48,,"23",,,,228,
237038,4318,"LICC",7989,148,"ASP",1,0,"08",37.465599060058594,15.05270004272461,37,84,312,"26",37.467899322509766,15.080100059509277,17,264,279
237028,4319,"LICD",5906,148,"ASP",1,0,"08",35.49660110473633,12.60830020904541,48,81,,"26",35.499298095703125,12.627900123596191,70,261,
237048,4320,"LICG",4003,98,"ASP",0,0,"02",36.807999,11.9633,620,28,,"20",36.817799,11.9697,591,208,
237049,4320,"LICG",5495,148,"ASP",1,0,"07",36.814098,11.9569,635,76,,"25",36.817699,11.975,603,256,
236980,4321,"LICJ",6804,148,"ASP",1,0,"02",38.166099548339844,13.085599899291992,42,24,10,"20",38.18320083618164,13.095199584960938,22,204,10
236981,4321,"LICJ",10912,197,"ASP",1,0,"07",38.17430114746094,13.08650016784668,33,66.9,404,"25",38.18579864501953,13.120800018310547,50,246.9,679
237071,4322,"LICP",4016,148,"ASP",0,0,"17",38.11600112915039,13.312700271606445,278,174.7,935,"35",38.10499954223633,13.314000129699707,340,354.7,738
237015,4323,"LICR",5574,148,"ASP",1,0,"11",38.07509994506836,15.639599800109863,38,113,,"29",38.06919860839844,15.657500267028809,43,293,
237016,4323,"LICR",6549,148,"ASP",1,0,"15",38.08039855957031,15.645500183105469,84,153,840,"33",38.06549835205078,15.65530014038086,34,333,164
236983,4324,"LICT",8852,148,"ASP",1,0,"13",37.918800354003906,12.475799560546875,10,128,,"31",37.90399932861328,12.500100135803223,24,308,820
236985,4325,"LICZ",8012,98,"ASP",1,0,"10L",37.40510177612305,14.909000396728516,81,98,146,"28R",37.40190124511719,14.936300277709961,81,278,139
236984,4325,"LICZ",8077,148,"ASP",1,0,"10R",37.4031982421875,14.908499717712402,80,98,343,"28L",37.400001525878906,14.936100006103516,64,278,349
260375,4326,"LIDA",,,"UNK",0,0,"08",,,3340,,,"26",,,3407,,
236991,4326,"LIDA",3675,75,"ASP",0,0,"08L",45.885799,11.51,3340,76,203,"26R",45.888302,11.5239,3407,256,95
236990,4326,"LIDA",3609,295,"GRS",0,0,"08R",45.884700775146484,11.510000228881836,3324,75.2,,"26L",45.88719940185547,11.523599624633789,3409,255.2,
260103,29417,"LIDB",2664,,"UNK",0,0,"05",,,1240,,,"23",,,1240,,
237063,4327,"LIDE",3970,98,"ASP",0,0,"11",44.699011,10.661061,147,108,968,"29",44.696475,10.670894,149,288,285
260376,4327,"LIDE",,,"UNK",0,0,"12",,,151,,,"30",,,148,,
326836,29418,"LIDF",4429,164,"SOD",0,0,"05",43.81991958618164,13.019530296325684,54,,,"23",43.82807922363281,13.032258033752441,54,,
316714,29419,"LIDG",2624,75,"ASP",0,0,"03",,,62,3,,"21",,,62,21,
540129,29419,"LIDG",50,50,"ASP",1,0,"H",44.3979,11.854,52,,,,,,,,
353371,29420,"LIDH",3937,98,"GRASS",0,0,"17",45.683445,11.495392,335,,,"35",45.672688,11.497284,335,,
351666,29421,"LIDL",2001,82,"GRS",0,0,"16",45.13309860229492,11.292200088500977,30,,,"34",45.12739944458008,11.29419994354248,30,,
319974,29422,"LIDP",3904,75,"ASPHALT",0,0,"02",44.315498,10.8286,,18,850,"20",44.3256,10.8332,,198,
237029,4328,"LIDR",3937,98,"ASP",0,0,"08",44.363399505615234,12.217399597167969,,81,,"26",44.3651008605957,12.2322998046875,,261,
237030,4328,"LIDR",2625,164,"GRE",0,1,"09",,,,90,,"27",,,,270,
236995,4329,"LIDT",3707,98,"ASP",1,0,"18",46.027269,11.1249,611,181,,"36",46.017083,11.1249,605,1,
350935,29423,"LIDU",2789,66,"ASP",0,0,"02",44.8307991027832,10.86970043182373,69,,,"20",44.83580017089844,10.87279987335205,69,,
520686,30298,"LIDV",3855,265,"GRS",0,0,"10",44.7917,11.6686,,109,1010,"28",44.7894,11.6781,,289,213
319955,30380,"LIDW",2461,164,"G",0,0,"15",,,,,,"33",,,,,
237043,4330,"LIEA",9843,148,"ASP",1,0,"02",40.61980056762695,8.283390045166016,69,25,,"20",40.64440155029297,8.2981595993042,87,205,
236977,4331,"LIED",9793,148,"ASP",1,0,"16L",39.367001,8.96994,97,167,494,"34R",39.340801,8.97763,84,347,495
236976,4331,"LIED",9072,98,"ASP",1,0,"16R",39.365398,8.96778,92,167,,"34L",39.342499,8.97462,81,347,
237017,4332,"LIEE",9196,148,"ASP",1,0,"14",39.260799,9.04347,9,138,,"32",39.2421,9.06511,4,318,
236993,4333,"LIEO",9006,148,"ASP",1,0,"05",40.892398834228516,9.50568962097168,35,53,805,"23",40.90489959716797,9.529569625854492,19,233,495
269324,29424,"LIER",3934,98,"BITUMINOUS",1,0,"14",,,,133,,"32",,,,313,
237045,4334,"LIET",3898,98,"ASP",1,0,"12",39.921600341796875,9.676730155944824,22,121,,"30",39.91590118408203,9.689229965209961,7,301,
518817,518398,"LIGT",656,82,"grass",0,0,"15",,,,,,"33",,,,,
